BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
7020 VASSAR AVE,379030895070,37.2,COMPLIED,-18.1,-18.1,77,No,Not Available,Not Available,"Vert Energy Group, Inc.",23872,Not Available,Not Available,1,100,Not Available,91303,2021,Multifamily Housing,25.9,70.5,1303.1,25.9,70.5,1963,023,"20,000 to 49,999 sqft"
18401 BURBANK BLVD,400217885422,62.8,COMPLIED,-42.4,-42.4,84,No,Not Available,Not Available,"Vert Energy Group, Inc.",32256,Not Available,Not Available,1,100,Not Available,91356,2021,Office,32.9,81.7,412.9,34.1,83,1977,024,"20,000 to 49,999 sqft"
11838 SHELDON ST,443639910085,6.9,NOT COMPLIED,-88.4,-88.4,Not Available,No,Not Available,Not Available,Public Storage,53740,23,0.43,1,100,Not Available,91352,2021,Self-Storage Facility,2.2,5.5,23,2.2,5.7,2016,015,"50,000 to 99,999 sqft"
3170 E PICO BLVD,497484828810,189.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Berg Lacquer Company Inc,80000.0,Not Available,Not Available,1.0,100.0,Not Available,90023,2017,Manufacturing/Industrial Plant,31.9,95.5,441.7,32.0,94.6,1933,009,"50,000 to 99,999 sqft"
1150 W JEFFERSON BLVD,473845831539,59.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,University of Southern California,308015.0,1250.6,4.06,1.0,100.0,Not Available,90089,2017,Parking,2.6,8.0,1250.6,2.6,8.0,1976,031,"100,000+ sqft"
6843 FARMDALE AVE,446223893628,,NOT COMPLIED,,,,,,,,,,,,,,91605,2018,,,,,,,,019,"20,000 to 49,999 sqft"
11710 MAYFIELD AVE,421252841373,,NOT COMPLIED,,,,,,,,,,,,,,90049,2020,,,,,,,,104,"20,000 to 49,999 sqft"
300 FALCON ST,480778733963,,NOT COMPLIED,,,,,,,,,,,,,,90744,2020,,,,,,,,001,"100,000+ sqft"
544 N AVALON BLVD,482117741297,20.5,COMPLIED,-39.8,-39.8,82,No,Not Available,Not Available,ece_cola_gsd,9639,73.8,7.66,1,100,Not Available,90744,2023,Office,31.9,75.7,156.4,32.2,76.2,1990,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
6300 SEPULVEDA BLVD,420818890033,36,COMPLIED,-57.8,-57.8,97,No,Not Available,Not Available,"Vert Energy Group, Inc.",25636,Not Available,Not Available,1,100,Not Available,91411,2020,Retail Store,21.2,59.3,32.2,21.2,59.3,1953,016,"20,000 to 49,999 sqft"
3131 MCCLINTOCK AVE,474799831980,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,University of Southern California,184684.0,9772.0,52.91,1.0,100.0,Not Available,90007,2016,Residence Hall/Dormitory,Not Available,Not Available,9772.0,Not Available,Not Available,1976,051,"100,000+ sqft"
2840 N SAN FERNANDO RD,487710862842,30,COMPLIED,-92.1,-92.1,Not Available,No,Not Available,Not Available,SKS Management LLC,132296,Not Available,Not Available,5,100,Not Available,90065,2021,Self-Storage Facility,3.8,3.8,351.4,3.8,3.8,2001,018,"50,000 to 99,999 sqft"
1999 AVENUE OF THE STARS,435454844004,1862.4,COMPLIED,-48.6,-48.6,90,No,Not Available,Not Available,JMB Constellation,824106,Not Available,Not Available,1,100,Not Available,90067,2021,Office,37.3,104.6,12816.7,37.3,104.6,1990,065,"100,000+ sqft"
6325 8TH AVE,462602816052,,NOT COMPLIED,,,,,,,,,,,,,,90043,2018,,,,,,,,044,"20,000 to 49,999 sqft"
633 W 5TH ST,484605841062,4471.2,COMPLIED,-45.6,-45.6,91.0,No,09/27/2016,"2016, 2015, 2014, 2013, 2011, 2010, 2009, 2007, 2006, 2005",HINES,1778646.0,Not Available,Not Available,1.0,70.0,Not Available,90071,2016,Office,33.3,103.6,14081.5,33.2,103.3,1989,028,"100,000+ sqft"
6033 S CENTRAL AVE,483823817059,13,NOT COMPLIED,-88.3,-88.3,Not Available,No,Not Available,Not Available,Extra Space,71565,45,0.63,1,100,Not Available,90001,2021,Self-Storage Facility,3,5.6,45,3,5.6,2009,022,"100,000+ sqft"
19455 PARTHENIA ST,393224906041,59.1,COMPLIED,2.1,2.1,46,No,Not Available,Not Available,"Vert Energy Group, Inc.",29241,Not Available,Not Available,1,100,Not Available,91342,2020,Multifamily Housing,33.4,93.6,2552.4,33.4,93.6,1980,046,"50,000 to 99,999 sqft"
9045 S LINCOLN RD,435146806668,65.4,COMPLIED,-92.2,-92.2,Not Available,No,Not Available,Not Available,ZC Sustainability,213687,Not Available,Not Available,1,0,Not Available,90045,2021,College/University,5.1,14.2,Not Available,5.1,14.2,1980,005,"100,000+ sqft"
1002 ELKGROVE AVE,422520822768,,NOT COMPLIED,,,,,,,,,,,,,,90291,2018,,,,,,,,067,"20,000 to 49,999 sqft"
6619 LELAND WAY,460469857978,347.1,COMPLIED,40.8,40.8,8.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",77530.0,Not Available,Not Available,1.0,100.0,Not Available,90028,2017,Multifamily Housing,76.1,119.8,4091.1,78.2,122.0,1987,029,"50,000 to 99,999 sqft"
12130 W MILLENNIUM,999000000194,348.5,COMPLIED,-59.2,-59.2,94,No,12/21/2022,"2022, 2021, 2020, 2019, 2018, 2017",Lincoln Property Company,193805,1274.5,6.58,1,100,Not Available,90094,2020,Office,27.2,68.6,1274.5,27.4,68.8,2010,053,"100,000+ sqft"
3845 SELIG PL,501391847364,74.8,COMPLIED,4.2,4.2,46,No,Not Available,Not Available,InternationalInstitute of Los Angeles,19415,Not Available,Not Available,1,85,Not Available,90031,2021,Office,63.7,178.3,371,63.7,178.3,1986,013,"20,000 to 49,999 sqft"
3720 S STEPHEN M WHITE� DR,474882717367,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",14955.0,Not Available,Not Available,1.0,100.0,Not Available,90731,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,2002,906,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
8549 WILLIS AVE,423870905005,89.1,COMPLIED,-7.3,-7.3,61,No,Not Available,Not Available,Unknown,28941,Not Available,Not Available,1,100,Not Available,91402,2020,Multifamily Housing,52.9,91.3,2849.3,55.9,94.5,1963,022,"20,000 to 49,999 sqft"
6724 HOLLYWOOD BLVD,459608859394,137.4,COMPLIED,34.7,34.7,23,No,Not Available,Not Available,Church of Scientology International,34000,1523.6,44.81,1,100,Not Available,90028,2019,Residence Hall/Dormitory,69.5,155.1,1523.6,69.1,154.6,1928,018,"50,000 to 99,999 sqft"
7722 RESEDA BLVD,399701899576,236.9,COMPLIED,-11.6,-11.6,68,No,Not Available,Not Available,Yardi Energy,92122,Not Available,Not Available,1,95,Not Available,91335,2021,Multifamily Housing,45.4,85.6,4975.8,46,86.3,1977,039,"50,000 to 99,999 sqft"
8039 S VERMONT AVE,473119809993,,NOT COMPLIED,,,,,,,,,,,,,,90044,2018,,,,,,,,018,"20,000 to 49,999 sqft"
1100 N BANNING BLVD,483277744387,109.2,COMPLIED,-12.6,-12.6,69,No,Not Available,Not Available,"Vert Energy Group, Inc.",49500,Not Available,Not Available,1,100,Not Available,90744,2023,Multifamily Housing,36.7,63.8,2500.7,36.7,63.9,1976,046,"20,000 to 49,999 sqft"
2300 PURDUE AVE,428026835653,32.3,COMPLIED,-62.5,-62.5,Not Available,No,Not Available,Not Available,Public Storage,75048.0,105.0,1.4,1.0,100.0,Not Available,90064,2017,Self-Storage Facility,5.7,17.8,105.0,5.7,17.8,1986,007,"50,000 to 99,999 sqft"
7323 WINNETKA AVE,388936897336,,NOT COMPLIED,,,,,,,,,,,,,,91306,2020,,,,,,,,026,"20,000 to 49,999 sqft"
8844 ORION AVE,419053906958,84.8,COMPLIED,-27.9,-27.9,88,Yes,Not Available,Not Available,"Vert Energy Group, Inc.",36100,Not Available,Not Available,1,100,Not Available,91343,2021,Multifamily Housing,41.7,75.1,3174,42.4,75.8,1985,045,"20,000 to 49,999 sqft"
9937 DE SOTO AVE,383600914338,63.5,COMPLIED,-34.9,-34.9,94,No,Not Available,Not Available,"Conservice, LLC",34137,Not Available,Not Available,1,100,Not Available,91311,2022,Multifamily Housing,29.7,58.7,2057.1,30.6,59.6,1964,019,"20,000 to 49,999 sqft"
400 S DETROIT ST,457223846784,142.9,COMPLIED,-25.0,-25.0,93.0,No,Not Available,Not Available,AUM,57191.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2017,Multifamily Housing,38.0,83.9,1658.4,38.9,84.8,1987,027,"50,000 to 99,999 sqft"
13129 FIGUEROA ST,475690790688,,NOT COMPLIED,,,,,,,,,,,,,,90248,2018,,,,,,,,004,"50,000 to 99,999 sqft"
3252 OVERLAND AVE,436174832976,59.7,COMPLIED,-19.8,-19.8,81,No,Not Available,Not Available,Yardi Energy,25971,Not Available,Not Available,1,95,Not Available,90034,2021,Multifamily Housing,41.7,63.7,1099.6,40.9,62.9,1964,040,"20,000 to 49,999 sqft"
1340 W 58TH ST,470746818758,,NOT COMPLIED,,,,,,,,,,,,,,90037,2018,,,,,,,,001,"20,000 to 49,999 sqft"
1875 E 22ND ST,489554828558,,NOT COMPLIED,,,,,,,,,,,,,,90058,2020,,,,,,,,013,"50,000 to 99,999 sqft"
13900 RIVERSIDE DE,430354879824,,NOT COMPLIED,,,,,,,,,,,,,,91423,2021,,,,,,,,035,"100,000+ sqft"
826 E 62ND ST,482752816268,7.3,COMPLIED,-55.7,-55.7,85,Yes,Not Available,Not Available,LJTH LLC,26301,Not Available,Not Available,1,100,Not Available,90001,2020,Non-Refrigerated Warehouse,4.2,11.7,49.4,4.2,11.7,1941,001,"20,000 to 49,999 sqft"
155 N OCCIDENTAL BLVD,477128848651,217.1,COMPLIED,2.7,2.7,45,No,Not Available,Not Available,"Vert Energy Group, Inc.",117956,Not Available,Not Available,1,100,Not Available,90026,2021,Multifamily Housing,32.1,65.7,3858.5,31.9,65.5,1955,011,"50,000 to 99,999 sqft"
4121 N RADFORD AVE,442899875839,298.2,NOT COMPLIED,114.4,114.4,1,No,Not Available,Not Available,"Conservice, LLC",64668,Not Available,Not Available,1,95,Not Available,91604,2021,Multifamily Housing,80.2,167.1,5234.7,80.7,167.6,2009,103,"50,000 to 99,999 sqft"
430 S FULLER AVE,454752846678,174.8,COMPLIED,-58.5,-58.5,100.0,No,Not Available,Not Available,AUM,192306.0,Not Available,Not Available,1.0,95.0,Not Available,90036,2016,Multifamily Housing,12.0,37.6,10640.4,12.0,37.6,1951,009,"100,000+ sqft"
18301 SHERMAN WAY,400838896139,,NOT COMPLIED,,,,,,,,,,,,,,91335,2018,,,,,,,,001,"20,000 to 49,999 sqft"
4443 MOORPARK WAY,453288877731,,NOT COMPLIED,,,,,,,,,,,,,,91602,2018,,,,,,,,014,"20,000 to 49,999 sqft"
6701 DE SOTO AVE,383328892827,615.6,COMPLIED,-2.0,-2.0,53.0,No,Not Available,Not Available,AUM,152550.0,Not Available,Not Available,1.0,95.0,Not Available,91303,2016,Multifamily Housing,60.0,115.7,13660.2,60.9,116.6,1978,044,"100,000+ sqft"
2222 E OLYMPIC BLVD,491072831771,1741,COMPLIED,901.3,901.3,1,No,Not Available,Not Available,"BNY, INC",47700,Not Available,Not Available,1,100,Not Available,90021,2022,Office,532.6,1491.4,3992.4,532.6,1491.4,1965,007,"20,000 to 49,999 sqft"
1666 N AVALON ST,481591748705,,NOT COMPLIED,,,,,,,,,,,,,,90744,2020,,,,,,,,026,"20,000 to 49,999 sqft"
1262 FEDORA ST,471489839850,,NOT COMPLIED,,,,,,,,,,,,,,90006,2018,,,,,,,,012,"20,000 to 49,999 sqft"
8900 DE SOTO AVE,384259907494,6574.4,COMPLIED,91.3,91.3,Not Available,No,Not Available,Not Available,Aerojet Rocketdyne,705917.0,Not Available,Not Available,16.0,95.0,Not Available,91309,2016,Manufacturing/Industrial Plant,131.3,283.2,16925.4,131.3,283.2,1958,057,"100,000+ sqft"
423 N HELIOTROPE DR,471946851045,120.1,COMPLIED,-14.4,-14.4,72,No,Not Available,Not Available,"Vert Energy Group, Inc.",49480,Not Available,Not Available,1,100,Not Available,90004,2021,Multifamily Housing,42.2,65.4,4937.9,41.1,64.2,1974,022,"20,000 to 49,999 sqft"
1608 COTNER AVE,426409840179,24.6,NOT COMPLIED,-50,-50,Not Available,No,Not Available,Not Available,Public Storage,47638,10.4,0.22,1,85,Not Available,90025,2021,Self-Storage Facility,8.5,23.9,10.4,8.5,23.9,2006,032,"50,000 to 99,999 sqft"
7270 W MANCHESTER AVE,6228,352.8,COMPLIED,-52,-52,100,No,Not Available,Not Available,Playa Del Oro-West,296337,Not Available,Not Available,1,95,Not Available,90045,2023,Multifamily Housing,17.1,45.6,6621.8,17.1,45.6,2015,044,"100,000+ sqft"
19500 PLUMMER ST,392489910908,,NOT COMPLIED,,,,,,,,,,,,,,91324,2017,,,,,,,,058,"100,000+ sqft"
1180 S BEVERLY DR,441939842860,165.1,COMPLIED,-10.1,-10.1,58,No,Not Available,Not Available,"1180 S. Beverly Drive, LLC",54421,1040.7,19.12,1,70,Not Available,90035,2021,Office,50.1,140.4,1040.7,50.1,140.4,1966,026,"50,000 to 99,999 sqft"
10834 BLIX ST,450551879496,86.6,COMPLIED,24.8,24.8,16,No,Not Available,Not Available,"Conservice, LLC",26183,Not Available,Not Available,0,100,Not Available,91602,2021,Multifamily Housing,58,114.9,1238.7,58.4,115.3,1986,005,"20,000 to 49,999 sqft"
21030 GRESHAM ST,382681906783,388.8,COMPLIED,-15.3,-15.3,74.0,No,Not Available,Not Available,"Seltzer-Doren Management Co., Inc.",153921.0,Not Available,Not Available,13.0,100.0,Not Available,91304,2017,Multifamily Housing,39.7,79.9,5858.0,42.2,82.4,1986,050,"100,000+ sqft"
12660 BRANFORD ST,438036911095,,NOT COMPLIED,,,,,,,,,,,,,,91331,2018,,,,,,,,007,"20,000 to 49,999 sqft"
9100 S SEPULVEDA BLVD,441628805859,73.3,COMPLIED,-58.4,-58.4,93,No,Not Available,Not Available,"Vert Energy Group, Inc.",46862,Not Available,Not Available,1,100,Not Available,90045,2021,Office,26.8,60.8,294.7,26.2,60.1,1950,017,"20,000 to 49,999 sqft"
1254 W 6TH ST,481218842535,76.9,COMPLIED,-69.7,-69.7,100,No,Not Available,Not Available,PIH Health Good Samaritan,93000,Not Available,Not Available,1,5,Not Available,90017,2021,Hotel,14.5,28,694.9,14.5,28,1925,031,"50,000 to 99,999 sqft"
7501 S NORMANDIE AVE,470510812356,,NOT COMPLIED,,,,,,,,,,,,,,90044,2024,,,,,,,,026,"20,000 to 49,999 sqft"
8501 LAUREL CANYON BLVD,441491904408,166.4,COMPLIED,-35.8,-35.8,85,No,Not Available,Not Available,Kohl's Department Stores,87287,255,2.92,1,100,Not Available,91352,2021,Retail Store,31.5,87.6,255,31.1,86.3,2009,017,"50,000 to 99,999 sqft"
6736 CLEON AVE,450507892902,114.3,COMPLIED,-20.6,-20.6,80,Yes,Not Available,Not Available,Unknown,51121,Not Available,Not Available,1,100,Not Available,91606,2020,Multifamily Housing,38.7,64.7,3.4,39.5,65.5,2010,010,"20,000 to 49,999 sqft"
415 S OXFORD AVE,468272846764,,NOT COMPLIED,,,,,,,,,,,,,,90020,2020,,,,,,,,021,"50,000 to 99,999 sqft"
4718 W WASHINGTON BLVD,457978836945,118,COMPLIED,-15.6,-15.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,45840,0,0,1,80,Not Available,90016,2023,Performing Arts,38,94.6,0,36.9,93.4,2000,907,"15,000 to 19,999 sqft (CITY OWNED BUILDING)"
427 S BONNIE BRAE ST,479357844457,,NOT COMPLIED,,,,,,,,,,,,,,90057,2020,,,,,,,,026,"20,000 to 49,999 sqft"
3055 E 12TH ST,496845829612,,NOT COMPLIED,,,,,,,,,,,,,,90023,2020,,,,,,,,021,"20,000 to 49,999 sqft"
850 S BROADWAY,484236837930,,NOT COMPLIED,,,,,,,,,,,,,,90014,2020,,,,,,,,059,"100,000+ sqft"
7427 N RESEDA BLVD,399481897564,45.9,COMPLIED,29.4,29.4,Not Available,No,Not Available,Not Available,ece_cola_gsd,9270,281.3,30.34,1,100,Not Available,91335,2023,Fire Station,78,161.6,629.3,77.5,158.8,1989,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
1543 SHATTO ST,480170842986,219.2,COMPLIED,77.5,77.5,Not Available,No,Not Available,Not Available,Santa Fe Holdings LLC,44536.0,Not Available,Not Available,1.0,100.0,Not Available,90017,2016,"Personal Services (Health/Beauty, Dry Cleaning, etc.)",56.7,178.1,Not Available,56.7,178.1,1970,031,"100,000+ sqft"
1811 TAMARIND AVE,464891860454,,NOT COMPLIED,,,,,,,,,,,,,,90028,2018,,,,,,,,030,"20,000 to 49,999 sqft"
5445 BALBOA BLVD,409894884539,230.3,COMPLIED,-42.1,-42.1,88.0,No,Not Available,Not Available,"5435 Balboa, LLC",74947.0,Not Available,Not Available,1.0,70.0,Not Available,91316,2016,Office,42.3,120.2,1385.7,43.1,118.2,1980,015,"100,000+ sqft"
13218 BARBARA ANN ST,434359895330,56.6,COMPLIED,-4.8,-4.8,57,No,Not Available,Not Available,Rohcs Property Management,20132,Not Available,Not Available,2,100,Not Available,91605,2021,Multifamily Housing,49.9,89.7,1238.8,50.6,90.4,1963,032,"20,000 to 49,999 sqft"
7240 LANKERSHIM BLVD,444642896245,230.0,COMPLIED,-27.9,-27.9,90.0,No,Not Available,Not Available,Anza Management Corporation,139406.0,Not Available,Not Available,1.0,95.0,Not Available,91605,2017,Multifamily Housing,21.8,68.3,13439.5,21.8,68.3,1968,023,"100,000+ sqft"
6943 HASKELL AVE,417978894506,87.1,COMPLIED,-20.2,-20.2,84,No,Not Available,Not Available,FOOTHILL ENTERPRISES,30128,Not Available,Not Available,1,100,Not Available,91406,2021,Multifamily Housing,52,85.5,2844.8,53.1,86.7,1986,024,"20,000 to 49,999 sqft"
810 S FLOWER ST,482812839478,664.2,COMPLIED,-5.3,-5.3,59.0,No,Not Available,Not Available,AUM,237962.0,Not Available,Not Available,1.0,95.0,Not Available,90017,2017,Multifamily Housing,41.2,98.7,9247.4,42.1,99.6,1924,040,"100,000+ sqft"
18632 COLLINS ST,398504886181,4,COMPLIED,-91.8,-91.8,100,No,Not Available,Not Available,1000 West 6th Street Partners LLC,25996,Not Available,Not Available,1,0,Not Available,91356,2021,Multifamily Housing,2.5,7.1,850.8,2.5,7.1,1977,078,"20,000 to 49,999 sqft"
445 S HOBART BLVD,469021846357,146.7,COMPLIED,3.0,3.0,44.0,No,Not Available,Not Available,Hobart Villa Partnership,26969.0,Not Available,Not Available,1.0,100.0,Not Available,90020,2017,Multifamily Housing,81.4,187.9,3277.2,82.7,189.3,1991,025,"50,000 to 99,999 sqft"
5985 W CENTURY BLVD,443661803014,1132.1,COMPLIED,1.8,1.8,47,No,Not Available,Not Available,The RMR Group,339178,Not Available,Not Available,1,50,Not Available,90045,2021,Hotel,58.4,117,1709881852,57.6,116.2,1990,043,"100,000+ sqft"
3424 WILSHIRE BLVD,471280844802,0.0,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Jamison Services, Inc.",210936.0,Not Available,Not Available,1.0,80.0,Not Available,90010,2016,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1958,015,"100,000+ sqft"
1390 KELTON AVE,427361842570,,NOT COMPLIED,,,,,,,,,,,,,,90024,2018,,,,,,,,016,"20,000 to 49,999 sqft"
535 S CATALINA ST,472135845975,123.7,COMPLIED,-2.9,-2.9,54,No,Not Available,Not Available,Unknown,48735,Not Available,Not Available,1,100,Not Available,90020,2020,Multifamily Housing,42.5,81.6,704.7,43.5,82.6,1968,015,"20,000 to 49,999 sqft"
4252 WHITSETT AVE,439172876587,35.3,COMPLIED,-56.9,-56.9,Not Available,No,Not Available,Not Available,Kay West Corporation,24169,Not Available,Not Available,1,100,Not Available,91604,2021,Multifamily Housing,25.5,50.9,411.4,25.8,51.2,2008,093,"20,000 to 49,999 sqft"
1000 E 7TH ST,487815836411,,NOT COMPLIED,,,,,,,,,,,,,,90021,2017,,,,,,,,001,"50,000 to 99,999 sqft"
5460 SIERRA VISTA AVE,467439854964,4.3,COMPLIED,-94,-94,100,No,Not Available,Not Available,The Eberly Company,36030,Not Available,Not Available,1,100,Not Available,90038,2021,Multifamily Housing,2,5.5,2759.1,Not Available,Not Available,1956,021,"20,000 to 49,999 sqft"
124 E OLYMPIC BLVD,484034836917,,NOT COMPLIED,,,,,,,,,,,,,,90015,2020,,,,,,,,041,"50,000 to 99,999 sqft"
1347 S HOPE ST,480882836415,,NOT COMPLIED,,,,,,,,,,,,,,90015,2017,,,,,,,,024,"50,000 to 99,999 sqft"
950 S FLOWER ST,482272838733,553.5,NOT COMPLIED,-11.4,-11.4,67,No,Not Available,Not Available,"Forest City Realty Trust, Inc.",233731,Not Available,Not Available,1,100,Not Available,90015,2021,Multifamily Housing,41.2,85.4,10290.7,41.8,87.1,2001,256,"100,000+ sqft"
19301 PACIFIC GATEWAY DR,471646770029,125.3,COMPLIED,4.7,4.7,47,No,Not Available,Not Available,Sumitomo Warehouse(U.S.A.) Inc.,160000,Not Available,Not Available,1,100,Not Available,90502,2021,Distribution Center,12.9,36.2,1090,12.9,36.2,1976,007,"100,000+ sqft"
11260 WESTMINSTER AVE,433594828762,,NOT COMPLIED,,,,,,,,,,,,,,90066,2020,,,,,,,,044,"20,000 to 49,999 sqft"
620 E COMMERCIAL ST,490987841549,,NOT COMPLIED,,,,,,,,,,,,,,90012,2018,,,,,,,,010,"20,000 to 49,999 sqft"
7158 HAWTHORN AVE,457009858752,,NOT COMPLIED,,,,,,,,,,,,,,90046,2024,,,,,,,,057,"20,000 to 49,999 sqft"
5446 NEWCASTLE AVE,403239884650,183,COMPLIED,1.2,1.2,48,No,Not Available,Not Available,"Vert Energy Group, Inc.",59141,Not Available,Not Available,1,100,Not Available,91316,2021,Multifamily Housing,53.1,87.1,5112.2,55.1,89.2,1967,191,"50,000 to 99,999 sqft"
425 S DETROIT ST,457070846596,35.8,COMPLIED,-33.2,-33.2,93,No,Not Available,Not Available,"Vert Energy Group, Inc.",20272,Not Available,Not Available,1,100,Not Available,90036,2024,Multifamily Housing,30.5,51.3,445.8,30,50.7,1928,007,"20,000 to 49,999 sqft"
12126 W WATERFRONT DR,112217100634,,NOT COMPLIED,,,,,,,,,,,,,,90094,2018,,,,,,,,119,"100,000+ sqft"
9701 RESEDA BLVD,399374912390,443.3,COMPLIED,54,54,Not Available,No,Not Available,Not Available,Plaza Inv,39265,Not Available,Not Available,1,95,Not Available,91324,2021,Other - Mall,201.8,347,5409.9,201.8,347,1979,029,"20,000 to 49,999 sqft"
777 E 12TH ST,485559834409,,NOT COMPLIED,,,,,,,,,,,,,,90021,2020,,,,,,,,036,"20,000 to 49,999 sqft"
8811 S WESTERN AVE,467794807102,,NOT COMPLIED,,,,,,,,,,,,,,90047,2023,,,,,,,,045,"50,000 to 99,999 sqft"
1237 N SYCAMORE AVE,457803856600,150,COMPLIED,12.6,12.6,31,No,Not Available,Not Available,HMMY Property Management Corp.,56424,Not Available,Not Available,1,95,Not Available,90038,2021,Multifamily Housing,46.6,92.4,4171.1,46.1,91.9,1988,036,"50,000 to 99,999 sqft"
1515 N ALEXANDRIA AVE,471288858462,,NOT COMPLIED,,,,,,,,,,,,,,90027,2020,,,,,,,,031,"20,000 to 49,999 sqft"
3323 CAZADOR ST,491650861196,64.8,COMPLIED,-12.6,-12.6,71,No,Not Available,Not Available,Los  Angeles Property Management Group,20367,Not Available,Not Available,1,100,Not Available,90065,2018,Multifamily Housing,56.2,84.7,2468.6,56.4,84.9,1972,015,"20,000 to 49,999 sqft"
344 N HAYWORTH AVE,451933850724,,NOT COMPLIED,,,,,,,,,,,,,,90048,2020,,,,,,,,026,"20,000 to 49,999 sqft"
7230 COLDWATER CANYON AVE,437038896326,,NOT COMPLIED,,,,,,,,,,,,,,91605,2018,,,,,,,,036,"20,000 to 49,999 sqft"
10943 N HERRICK AVE,436852920619,85.2,COMPLIED,241.2,241.2,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10100.0,Not Available,Not Available,1.0,100.0,Not Available,91331,2017,Other - Recreation,116.2,330.4,622.4,120.1,334.5,2002,905,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
3690 S MOTOR AVE,438790831028,49.3,COMPLIED,24.7,24.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,10365,220.6,21.28,1,100,Not Available,90034,2023,Fire Station,74.6,155.7,486.9,70,152.3,1942,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
9621 IRONDALE AVE,384464912179,270.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Quality Fabrication, Inc.",48154,Not Available,Not Available,1,100,Not Available,91311,2021,Manufacturing/Industrial Plant,94.9,233.8,1418.3,94.9,233.8,1977,057,"20,000 to 49,999 sqft"
15441 W SUNSET BLVD,401784840449,110.5,COMPLIED,-24.3,-24.3,83,No,12/20/2021,"2021, 2020",Atria Senior Living,36542,1483.9,40.61,1,80,Not Available,90272,2021,Senior Living Community,52.8,107.5,2967.9,52.4,107.1,2014,015,"20,000 to 49,999 sqft"
15800 W ROSCOE BLVD,417775902150,2428.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Anheuser-Busch LLC.,117270,32690.6,278.76,1,100,Not Available,91406,2021,Manufacturing/Industrial Plant,374.7,607.1,32690.6,Not Available,Not Available,1954,041,"100,000+ sqft"
3957 S HILL ST,476698826842,35.4,COMPLIED,-84.6,-84.6,100,No,Not Available,Not Available,ZABIN INDUSTRIES INC.,66000,Not Available,Not Available,1,100,Not Available,90037,2021,Office,8.9,24.8,89.8,8.9,24.8,1987,024,"20,000 to 49,999 sqft"
