iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,co2_emission_tons,HDI_Category
ZZB.HHD,High human development,2022,0.764,75.20367977,2890.910223,0.747356518,0.777042686,77.98377866,72.54429276,14.49302071,14.84762593,14.16626141,8.639074691,8.327576665,8.959978102,15483.82237,10904.04153,20011.16292,0.962,5.528362267,High
HND,Honduras,2022,0.624,70.728,10.4328595,0.615904261,0.632366731,73.157,68.461,9.961707633,10.32103672,9.593739133,7.296200514,6.867461256,7.756288523,5271.604988,4694.873933,5837.184487,0.974,1.054158038,Medium
HKG,"Hong Kong, China (SAR)",2022,0.956,84.315,7.488865,0.942671483,0.96951481,86.893,81.754,17.8495903,17.87204933,17.84137917,12.34776974,11.99598026,12.78872013,62485.50516,51562.96012,75269.83474,0.972,4.373241562,Very High
HUN,Hungary,2022,0.851,74.958,9.9673075,0.845642227,0.854651999,78.309,71.552,15.07330036,15.42617989,14.73847008,12.24958992,12.09698963,12.42362022,34195.54059,27202.66704,41767.98773,0.989,5.001541744,Very High
ISL,Iceland,2022,0.959,82.815,0.3728985,0.945677273,0.969440078,84.288,81.382,19.10672951,20.50425911,17.83465958,13.76716995,13.86952972,13.67177963,54688.37921,45506.33897,63420.31049,0.975,9.478175166,Very High
IND,India,2022,0.644,67.744,1417.173173,0.582116956,0.683509529,69.384,66.257,12.58370972,12.60725021,12.56225967,6.570700169,5.529439926,7.625889778,6950.526798,2957.853786,10696.44788,0.852,1.899893859,Medium
IDN,Indonesia,2022,0.713,68.25,275.501339,0.68784301,0.731616717,70.437,66.181,13.97573724,14.07574064,13.88177094,8.556509972,8.206930161,8.912110329,12045.56544,8111.198281,15925.89053,0.94,2.249929938,High
IRN,Iran (Islamic Republic of),2022,0.78,74.556,88.55057,0.709665743,0.806166235,77.453,71.93,14.11717033,14.16625023,14.06774998,10.74618321,10.74479281,10.75073807,14770.32307,4139.827814,25191.93545,0.88,7.825883093,High
IRQ,Iraq,2022,0.673,71.336,44.4961215,0.568529848,0.723617504,73.362,69.162,12.22275571,11.6435291,12.7723928,6.811878947,5.648159084,7.995557168,9091.865377,2086.880407,16070.25809,0.786,3.872579593,Medium
IRL,Ireland,2022,0.95,82.716,5.0231085,0.94283834,0.951391575,84.412,81.017,19.12610054,19.47579956,18.77157974,11.6569568,11.86322577,11.43763109,87467.51391,66876.42142,108423.6108,0.991,7.529751173,Very High
ISR,Israel,2022,0.915,82.601,9.038309,0.909960997,0.917964595,84.508,80.625,15.02984047,15.58275986,14.49588013,13.44279092,13.49055743,13.39140912,43588.25725,37414.65081,49792.14767,0.991,6.162801842,Very High
ITA,Italy,2022,0.906,84.057,59.037474,0.889609164,0.918484781,86.0,81.974,16.65806007,17.14426994,16.2088604,10.7401104,10.60560989,10.8870697,44284.15735,31412.84197,57808.10521,0.969,5.692573044,Very High
